date,open,high,low,close,volume,factor
2019-05-29,120.2464,120.4597,119.6251,119.7086,10000,1
2019-05-30,119.9311,120.7657,119.5187,120.7379,10000,1
2019-05-31,121.3871,122.3144,121.3036,122.2495,10000,1
2019-06-03,122.5743,123.1969,122.2398,123.0668,10000,1
2019-06-04,122.0911,122.4349,121.3106,121.6637,10000,1
2019-06-05,121.2827,121.6823,120.911,120.976,10000,1
2019-06-06,121.7008,122.277,121.0968,121.3663,10000,1
2019-06-07,122.4628,122.723,122.1357,122.4163,10000,1
2019-06-10,121.4314,121.4537,121.0968,121.2641,10000,1
2019-06-11,121.1898,121.5057,121.0968,121.3384,10000,1
2019-06-12,121.1619,121.4964,121.0783,121.4314,10000,1
2019-06-13,121.5429,121.961,121.5336,121.8495,10000,1
2019-06-14,121.8216,122.3885,121.8124,122.1562,10000,1
2019-06-17,122.0911,122.4349,121.8495,122.3699,10000,1
2019-06-18,123.3456,123.4571,122.6068,122.9832,10000,1
2019-06-19,122.5279,123.327,122.2677,123.1597,10000,1
2019-06-20,123.5035,124.0564,123.2062,123.485,10000,1
2019-06-21,123.1319,123.1504,122.0772,122.1283,10000,1
2019-06-24,122.8066,123.1504,122.7314,123.0389,10000,1
2019-06-25,123.392,123.6708,123.327,123.4199,10000,1
2019-06-26,123.2898,123.3084,122.5464,122.6301,10000,1
2019-06-27,122.946,123.6708,122.6487,123.4943,10000,1
2019-06-28,123.1969,123.6615,123.0722,123.4106,10000,1
2019-07-01,123.4294,123.597,122.5179,123.1222,10000,1
2019-07-02,123.4294,124.1929,123.327,124.0718,10000,1
2019-07-03,124.3139,125.0308,124.3046,124.9563,10000,1
2019-07-05,123.4015,123.4108,122.5915,123.2991,10000,1
2019-07-08,123.8763,124.0346,123.4666,123.4666,10000,1
2019-07-09,123.5318,123.5598,123.0477,123.4201,10000,1
2019-07-10,123.2246,123.3037,122.4425,122.7404,10000,1
2019-07-11,122.2563,122.3494,120.8132,121.1018,10000,1
2019-07-12,120.9621,121.4556,120.7387,121.2414,10000,1
2019-07-15,121.4556,122.0142,121.4556,121.9397,10000,1
2019-07-16,121.1949,121.5952,120.9947,121.5766,10000,1
2019-07-17,122.0235,122.9158,122.0142,122.8894,10000,1
2019-07-18,122.4052,123.1966,122.1911,122.8987,10000,1
2019-07-19,122.517,122.8335,122.4378,122.6101,10000,1
2019-07-22,123.3363,123.3549,122.6603,122.8428,10000,1
2019-07-23,122.5263,122.6566,121.9351,122.1725,10000,1
2019-07-24,122.5263,122.8028,122.4006,122.7032,10000,1
2019-07-25,122.2004,122.3494,121.5114,122.1166,10000,1
2019-07-26,122.6194,122.6939,122.2004,122.4052,10000,1
2019-07-29,122.7311,122.8521,122.3354,122.4425,10000,1
2019-07-30,122.8987,122.9918,122.368,122.7404,10000,1
2019-07-31,122.6194,124.137,122.5821,123.7273,10000,1
2019-08-01,124.44,126.3058,124.3187,126.1845,10000,1
2019-08-02,126.5577,127.3507,126.3151,127.3507,10000,1
2019-08-05,128.8713,129.571,128.4235,129.5523,10000,1
2019-08-06,128.9273,130.5878,128.82,130.5878,10000,1
2019-08-07,132.8455,133.4612,130.4013,130.6345,10000,1
2019-08-08,129.8042,131.0076,128.722,130.9144,10000,1
2019-08-09,131.2315,132.0525,130.4852,130.6531,10000,1
2019-08-12,132.2111,133.8064,132.0166,133.3772,10000,1
2019-08-13,134.1609,134.2556,132.4257,132.9201,10000,1
2019-08-14,135.4203,135.9484,135.0005,135.9147,10000,1
2019-08-15,136.1573,138.6295,135.8121,137.426,10000,1
2019-08-16,136.2599,136.6797,135.1217,136.3252,10000,1
2019-08-19,133.937,134.9538,133.8857,134.3754,10000,1
2019-08-20,135.5322,135.8517,135.1217,135.7655,10000,1
2019-08-21,135.0098,136.008,134.604,134.8605,10000,1
2019-08-22,134.3381,134.9911,133.853,133.9649,10000,1
2019-08-23,133.8903,136.4558,133.8064,136.1666,10000,1
2019-08-26,136.0826,136.4745,135.5416,135.6162,10000,1
2019-08-27,136.7916,137.8085,136.6517,137.7059,10000,1
2019-08-28,138.7974,138.9093,137.7525,137.8831,10000,1
2019-08-29,137.37,137.454,136.3252,137.3607,10000,1
2019-08-30,136.773,137.5846,136.5398,137.398,10000,1
2019-09-03,137.4637,138.9403,136.9777,137.5758,10000,1
2019-09-04,136.9403,137.959,136.8936,137.7814,10000,1
2019-09-05,136.1273,136.2581,134.4731,135.2862,10000,1
2019-09-06,135.7534,136.4731,135.5852,136.2488,10000,1
2019-09-09,134.417,134.5759,133.8189,133.8283,10000,1
2019-09-10,133.4918,133.9124,131.4545,131.4825,10000,1
2019-09-11,131.2115,131.9124,131.2022,131.2489,10000,1
2019-09-12,132.2395,132.5199,129.9636,130.3891,10000,1
2019-09-13,129.2303,129.6321,127.6041,127.6041,10000,1
2019-09-16,128.8564,129.5013,128.2718,129.2303,10000,1
2019-09-17,129.305,130.4639,128.9873,129.9312,10000,1
2019-09-18,130.7723,131.4545,130.3984,130.4826,10000,1
2019-09-19,131.5479,131.7629,130.8097,130.8751,10000,1
2019-09-20,131.5573,132.6881,131.2489,132.604,10000,1
2019-09-23,132.9311,133.7862,132.4264,132.576,10000,1
2019-09-24,133.0993,134.4311,133.09,134.174,10000,1
2019-09-25,133.8843,134.1554,131.9031,132.2115,10000,1
2019-09-26,132.9591,133.632,132.6087,133.0619,10000,1
2019-09-27,133.0059,133.618,132.8376,133.389,10000,1
2019-09-30,132.5946,133.7255,132.5573,133.7161,10000,1
2019-10-01,132.2464,134.7273,132.134,134.1188,10000,1
2019-10-02,134.306,135.0643,134.1001,134.4464,10000,1
2019-10-03,134.7928,136.375,134.7367,135.6729,10000,1
2019-10-04,136.0754,136.712,135.935,136.6746,10000,1
2019-10-07,135.8975,136.2439,135.4763,135.5418,10000,1
2019-10-08,136.5154,136.6184,135.392,135.9069,10000,1
2019-10-09,135.3733,135.3826,134.6243,135.1392,10000,1
2019-10-10,133.9877,134.0439,132.6864,133.1264,10000,1
2019-10-11,131.9843,132.0966,130.7953,131.4787,10000,1
2019-10-14,132.4524,132.4758,132.0779,132.4336,10000,1
2019-10-15,131.694,131.9515,130.6455,130.8327,10000,1
2019-10-16,130.7298,131.123,130.4583,130.9919,10000,1
2019-10-17,130.6174,131.4225,130.4084,130.6736,10000,1
2019-10-18,130.8889,131.2821,130.5519,130.6736,10000,1
2019-10-21,129.728,130.1212,129.4051,129.6906,10000,1
2019-10-22,130.4864,130.6258,129.7889,130.4489,10000,1
2019-10-23,131.0949,131.3606,130.4676,130.58,10000,1
2019-10-24,130.7672,131.2915,130.1587,130.3178,10000,1
2019-10-25,130.6268,130.6455,129.4846,129.6812,10000,1
2019-10-28,128.8012,128.8012,128.2489,128.5016,10000,1
2019-10-29,128.8387,128.951,128.4174,128.5859,10000,1
2019-10-30,128.9791,130.5519,128.9791,130.4676,10000,1
2019-10-31,131.5162,132.6368,131.4694,132.2277,10000,1
2019-11-01,131.9797,132.4861,131.0982,131.8203,10000,1
2019-11-04,130.3292,130.4886,129.9165,130.0853,10000,1
2019-11-05,128.688,128.8943,128.2284,128.6223,10000,1
2019-11-06,129.4382,129.804,128.8005,129.4007,10000,1
2019-11-07,127.8721,127.8814,126.0902,127.0562,10000,1
2019-11-08,126.7467,127.4969,126.3997,126.5216,10000,1
2019-11-11,126.9624,126.9718,126.2684,126.606,10000,1
2019-11-12,126.8686,127.4968,126.4072,127.1875,10000,1
2019-11-13,128.3035,128.4441,127.6986,128.0127,10000,1
2019-11-14,129.2319,129.8321,129.11,129.3351,10000,1
2019-11-15,128.9318,129.5695,128.8849,129.1944,10000,1
2019-11-18,129.6164,129.9915,129.3538,129.4288,10000,1
2019-11-19,129.7665,130.5824,129.7665,130.5073,10000,1
2019-11-20,131.2107,131.8578,131.0794,131.8578,10000,1
2019-11-21,130.9575,131.3701,130.4698,131.0325,10000,1
2019-11-22,131.3889,131.5577,130.995,131.2013,10000,1
2019-11-25,131.5765,131.7922,131.4639,131.5858,10000,1
2019-11-26,132.2329,132.5237,132.1767,132.3549,10000,1
2019-11-27,131.8578,132.1485,131.689,131.9703,10000,1
2019-11-29,131.8766,131.9328,131.0888,131.689,10000,1
2019-12-02,129.7731,130.271,129.5946,129.9328,10000,1
2019-12-03,131.558,133.1832,131.4546,132.6571,10000,1
2019-12-04,131.8398,131.9901,130.7783,131.3325,10000,1
2019-12-05,130.2616,130.9943,130.2052,130.6937,10000,1
2019-12-06,129.6697,130.6937,129.51,129.9703,10000,1
2019-12-09,130.5716,130.6843,130.177,130.2522,10000,1
2019-12-10,130.7501,130.9098,130.0267,130.2616,10000,1
2019-12-11,130.8628,131.6519,130.797,131.2856,10000,1
2019-12-12,130.7595,130.8483,128.3357,129.1249,10000,1
2019-12-13,129.7543,131.154,128.9182,130.6186,10000,1
2019-12-16,130.0173,130.0737,129.1061,129.4443,10000,1
2019-12-17,129.8388,129.961,128.8994,129.2658,10000,1
2019-12-18,128.9839,129.1249,128.0257,128.2042,10000,1
2019-12-19,127.9668,128.776,127.7411,128.409,10000,1
2019-12-20,128.0891,128.616,127.9009,128.5784,10000,1
2019-12-23,128.7289,128.8783,127.9668,128.3902,10000,1
2019-12-24,127.8915,128.9642,127.8633,128.7572,10000,1
2019-12-26,128.823,129.1147,128.4467,129.0677,10000,1
2019-12-27,129.3217,129.5005,129.1806,129.2088,10000,1
2019-12-30,127.8633,128.8136,127.6469,128.7384,10000,1
2019-12-31,128.1644,128.3996,127.3834,127.4775,10000,1
2020-01-02,128.7101,129.4064,128.5925,128.9218,10000,1
2020-01-03,130.1027,130.9401,129.7357,130.9025,10000,1
2020-01-06,131.4388,131.4576,129.9898,130.1592,10000,1
2020-01-07,130.0557,130.2909,129.5099,129.5146,10000,1
2020-01-08,129.7828,130.1403,128.2679,128.6631,10000,1
2020-01-09,127.9668,129.317,127.8774,129.1147,10000,1
2020-01-10,129.5381,130.2909,129.5004,130.2627,10000,1
2020-01-13,129.7357,129.9333,129.2747,129.8675,10000,1
2020-01-14,130.018,130.6202,129.9757,130.5355,10000,1
2020-01-15,131.2789,131.5047,130.8084,131.4012,10000,1
2020-01-16,131.0342,131.2883,130.5449,130.9872,10000,1
2020-01-17,129.4535,129.9804,129.2465,129.8675,10000,1
2020-01-21,130.6108,131.4012,130.5732,131.2318,10000,1
2020-01-22,131.4671,131.8622,131.3447,131.6929,10000,1
2020-01-23,132.5256,133.029,132.4644,132.615,10000,1
2020-01-24,133.0666,134.1299,132.9537,133.6877,10000,1
2020-01-27,135.4472,135.7671,135.0242,135.7671,10000,1
2020-01-28,135.4237,135.5742,134.3839,134.7039,10000,1
2020-01-29,134.9673,136.1529,134.9579,136.0212,10000,1
2020-01-30,136.3411,137.0656,135.7671,136.04,10000,1
2020-01-31,136.5951,137.3667,136.5199,137.282,10000,1
2020-02-03,136.6099,137.3733,135.8324,137.1707,10000,1
2020-02-04,135.7098,135.8512,134.8333,135.3234,10000,1
2020-02-05,134.117,134.494,133.74,133.8437,10000,1
2020-02-06,134.0039,134.6637,133.8343,134.4469,10000,1
2020-02-07,135.9266,136.4167,135.5967,136.1245,10000,1
2020-02-10,136.756,136.8974,136.3602,136.5015,10000,1
2020-02-11,136.2753,136.3979,135.6627,135.8135,10000,1
2020-02-12,135.1255,135.2951,134.7674,135.1255,10000,1
2020-02-13,135.1915,135.9078,135.0312,135.6439,10000,1
2020-02-14,136.4356,136.7372,136.1434,136.2376,10000,1
2020-02-18,136.9822,137.6514,136.5864,137.1707,10000,1
2020-02-19,136.7749,137.2461,136.6429,137.1613,10000,1
2020-02-20,137.6797,138.4902,137.6028,138.2357,10000,1
2020-02-21,139.3008,140.3186,139.1594,139.5269,10000,1
2020-02-24,142.1565,142.279,141.3742,141.6099,10000,1
2020-02-25,141.5722,143.0286,141.5062,142.3639,10000,1
2020-02-26,141.3271,142.9953,140.9784,141.6099,10000,1
2020-02-27,143.919,144.2771,142.1565,143.1461,10000,1
2020-02-28,145.5683,147.0103,145.295,146.3789,10000,1
2020-03-02,146.5858,147.7185,145.1322,145.3021,10000,1
2020-03-03,145.1794,150.7389,143.8108,147.558,10000,1
2020-03-04,147.6335,148.5208,145.5381,145.9912,10000,1
2020-03-05,148.3131,149.9083,148.0111,149.6251,10000,1
2020-03-06,157.9125,159.8286,154.9015,157.4122,10000,1
2020-03-09,169.0504,169.6167,160.7819,161.6786,10000,1
2020-03-10,160.1165,163.2266,152.9382,153.3913,10000,1
2020-03-11,156.1474,157.6576,146.8973,147.7468,10000,1
2020-03-12,154.3351,157.0252,146.9256,148.6624,10000,1
2020-03-13,146.3027,149.3231,143.6503,145.3021,10000,1
2020-03-16,151.3808,156.827,148.955,154.7127,10000,1
2020-03-17,154.3257,156.3362,144.1412,144.396,10000,1
2020-03-18,144.2639,145.4909,131.2104,136.2502,10000,1
2020-03-19,138.7044,144.8396,137.0997,139.9597,10000,1
2020-03-20,144.698,150.4841,143.5748,150.4841,10000,1
2020-03-23,148.6624,157.3367,147.7846,156.6854,10000,1
2020-03-24,152.202,156.1663,151.4091,153.7688,10000,1
2020-03-25,154.4107,157.3273,152.5512,153.4196,10000,1
2020-03-26,154.7929,156.3834,153.1647,154.1747,10000,1
2020-03-27,156.2324,158.8092,155.3545,158.29,10000,1
2020-03-30,158.8564,160.5648,156.6288,156.9875,10000,1
2020-03-31,156.4023,157.5538,155.3262,155.7132,10000,1
2020-04-01,159.2561,159.7098,157.29,157.8949,10000,1
2020-04-02,159.5869,159.9556,158.1029,158.8969,10000,1
2020-04-03,159.3222,161.0048,158.9347,159.275,10000,1
2020-04-06,157.8571,159.0576,157.4128,158.8591,10000,1
2020-04-07,155.9288,157.3089,154.7472,157.1954,10000,1
2020-04-08,156.0706,157.0914,155.1442,156.0517,10000,1
2020-04-09,155.286,156.7133,154.8134,156.3352,10000,1
2020-04-13,155.7303,156.6377,154.9079,154.9079,10000,1
